year_month,valor,selic_compounded_prev_12mo,selic_compounded_prev_6mo,selic_compounded_prev_3mo
2020-09-01,1.0015696620595305,0.038602181657865886,0.014340619476753913,0.005676317448201518
2020-10-01,1.0015696620595305,0.035430523596275965,0.012506780889926405,0.005120694751534538
2020-11-01,1.0014948604084066,0.03210927041559852,0.011214871379690461,0.004745707329104176
2020-12-01,1.0016444692975897,0.029735165432877686,0.010344008096124346,0.004641344900878641
2021-01-01,1.0014948604084066,0.027578158163063637,0.009861227464779576,0.004716381562929417
2021-02-01,1.001345273865296,0.0252527999222123,0.009409078694496031,0.004641344900878641
2021-03-01,1.002010798832794,0.023625364942568394,0.009153478907907742,0.00449128838856816
2021-04-01,1.002077848024335,0.022224776360431076,0.009597955938589253,0.004858659085528405
2021-05-01,1.0027032626398218,0.02143847152043965,0.010110215375689569,0.005443604827303439
2021-06-01,1.0030777896833165,0.02179020837888168,0.011329012881787115,0.006807151612223672
2021-07-01,1.0035561617801918,0.022763407927377743,0.012776191531769676,0.00787924985733457
2021-08-01,1.0042795247734249,0.024409616724027083,0.014860712416943977,0.009366122122043796
2021-09-01,1.004419993322352,0.027151294981634155,0.017834567734140272,0.010952858354509987
2021-10-01,1.0048599610251687,0.030074428098219697,0.020281808257618605,0.012305599507123288
2021-11-01,1.0058674909390046,0.03345836927943768,0.023114461717491208,0.013620765839201798
2021-12-01,1.0076908308186334,0.037970555808054085,0.026343101589018758,0.01522350236939718
2022-01-01,1.0073227032460896,0.04423619738147111,0.03106313725850951,0.018529520888276085
2022-02-01,1.007550409870389,0.050312758215021125,0.03493291775345808,0.02102576489404462
2022-03-01,1.009270538628931,0.05682133590815863,0.038303639324030136,0.022734045164209515
2022-04-01,1.0083432052372139,0.06447818742975486,0.04331781554315128,0.02433733548857453
2022-05-01,1.0103459230153136,0.0711336943873373,0.04693436997189626,0.025375074722566282
2022-06-01,1.0101531560893695,0.07929793534272833,0.05159564445040221,0.028220043541777873
2022-07-01,1.00049037,0.08691093249248838,0.05416525255909388,0.029119232539046802
